"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SB1";"WU02S";1;"SJ";;;
2;"U2";"QFN-32_EP_5.3x5.3_Pitch0.5mm";1;"STM32L052K8Ux";;;
3;"C5";"C_0402_5MIL_DWS";1;"2.2uF_6.3V";;;
4;"U1";"SOT89";1;"ME6210-SOT89";;;
5;"USB1";"USB-MICRO_MISB-SWMM-5B_LF";1;"USB-DEBUG";;;
6;"D1";"SOD-123_KA";1;"1N5819";;;
7;"FET1";"SOT23";1;"WPM2015";;;
8;"JP2";"HN1x2_Jumper";1;"JP1E";;;
9;"LED1";"LED_0603_KA";1;"RLED";;;
10;"LED2";"LED_0603_KA";1;"GLED";;;
11;"LED3";"LED_0603_KA";1;"YLED";;;
12;"R1,R6,R5";"R_0402_5MIL_DWS";3;"220R";;;
13;"R2,R4";"R_0402_5MIL_DWS";2;"1.5K";;;
14;"R3,R14,R16";"R_0402_5MIL_DWS";3;"2.2K";;;
15;"R7,R12";"R_0402_5MIL_DWS";2;"22R";;;
16;"R13,R15,R17";"R_0402_5MIL_DWS";3;"10K";;;
17;"R18,R9";"R_0402_SMALL";2;"10K";;;
18;"C11";"C_0402_5MIL_DWS";1;"2.2 uF";;;
19;"C3,C12,C2";"C_0402_5MIL_DWS";3;"100n";;;
20;"C4,C1,C9,C7";"C_0603_5MIL_DWS";4;"4.7uF_6.3V";;;
21;"MOD1";"BB-STM32WLE";1;"BB-STM32WL";;;
22;",";"OLIMEX_LOGO_TB";2;"";;;
23;"";"LOGO_RECYCLEBIN_1";1;"";;;
24;"";"LOGO_OPENHARDWARE_8x8";1;"";;;
25;"REF**";"CE_Sign";1;"CE_Sign";;;
26;"SJ1";"SJ_1_SMALLER_TIED";1;"SJ_Closed";;;
27;"Ref*,Ref*";"Fiducial1x3_transp";2;"Val**";;;
28;"MountingHole*,MountingHole*,MountingHole*,MountingHole*";"Rubber_feet";4;"Rubber_feet";;;
29;"U3";"LGA-12_2X2_0.5";1;"IIS2MDC";;;
30;"U4";"BME280";1;"BME280";;;
31;"UEXT1";"GBH-254-SMT-10";1;"BH10S";;;
32;"SW2,SW1";"T1107A(6x3,8x2,5MM)";2;"T1107A(6x3,8x2,5MM)";;;
33;"R11,R10";"R_0402_5MIL_DWS";2;"10k";;;
34;"R8";"R_PHOTO";1;"R_PHOTO-Device";;;
35;"CON1";"HN1x10";1;"CON10";;;
36;"C10,C8,C6";"C_0402_5MIL_DWS";3;"220nF";;;
37;"BAT1";"BATTERY-1xAA";1;"Battery";;;
