"Designation";"Quantity";"Designator";"Package";
"1.5K";2;"R2,R4";"R_0402_5MIL_DWS";
"100n";3;"C2,C3,C12";"C_0402_5MIL_DWS";
"10K";2;"R9,R18";"R_0402_SMALL";
"10K";3;"R13,R15,R17";"R_0402_5MIL_DWS";
"10k";2;"R10,R11";"R_0402_5MIL_DWS";
"1N5819";1;"D1";"SOD-123_KA";
"2.2 uF";1;"C11";"C_0402_5MIL_DWS";
"2.2K";3;"R3,R14,R16";"R_0402_5MIL_DWS";
"2.2uF_6.3V";1;"C5";"C_0402_5MIL_DWS";
"220R";3;"R1,R5,R6";"R_0402_5MIL_DWS";
"220nF";3;"C6,C8,C10";"C_0402_5MIL_DWS";
"22R";2;"R7,R12";"R_0402_5MIL_DWS";
"4.7uF_6.3V";4;"C1,C4,C7,C9";"C_0603_5MIL_DWS";
"BB-STM32WL";1;"MOD1";"BB-STM32WLE";
"BH10S";1;"UEXT1";"GBH-254-SMT-10";
"BME280";1;"U4";"BME280";
"Battery";1;"BAT1";"BATTERY-1xAA";
"CON10";1;"CON1";"HN1x10";
"GLED";1;"LED2";"LED_0603_KA";
"IIS2MDC";1;"U3";"LGA-12_2X2_0.5";
"JP1E";1;"JP2";"HN1x2_Jumper";
"ME6210-SOT89";1;"U1";"SOT89";
"RLED";1;"LED1";"LED_0603_KA";
"R_PHOTO-Device";1;"R8";"R_PHOTO";
"SJ";1;"SB1";"WU02S";
"SJ_Closed";1;"SJ1";"SJ_1_SMALLER_TIED";
"STM32L052K8Ux";1;"U2";"QFN-32_EP_5.3x5.3_Pitch0.5mm";
"T1107A(6x3,8x2,5MM)";2;"SW1,SW2";"T1107A(6x3,8x2,5MM)";
"USB-DEBUG";1;"USB1";"USB-MICRO_MISB-SWMM-5B_LF";
"WPM2015";1;"FET1";"SOT23";
"YLED";1;"LED3";"LED_0603_KA";
